"","state","wave","covid","deport","wall","dreamers","grpfav","mortality","age","gender","no_highsch","college_deg","hispanic","black","household_income","china_tariffs","muslimban","economy","num_observations","representative","grpfav_avg"
"1105","TX",11,3.23340961098398,0.428571428571429,0.526881720430108,0.245231607629428,2.41424802110818,8.33230835221912,45.0410022779043,45.0410022779043,0.111617312072893,0.343963553530752,0.291571753986333,0.0956719817767654,10.5364705882353,0.758620689655172,0.319327731092437,11.39,439,1,2.47219624335837
"1106","TX",12,3.2060737527115,0.447513812154696,0.431372549019608,0.231958762886598,2.55445544554455,8.34972083747249,43.9914163090129,43.9914163090129,0.0987124463519313,0.36480686695279,0.336909871244635,0.118025751072961,9.44519015659955,0.630952380952381,0.330097087378641,9.88,466,1,2.47219624335837
"1107","TX",13,3.32612966601179,0.409756097560976,0.408450704225352,0.169373549883991,2.41299303944316,8.38845031552351,42.8860510805501,42.8860510805501,0.115913555992141,0.308447937131631,0.304518664047151,0.119842829076621,10.154334038055,0.707070707070707,0.330827067669173,10.54,509,1,2.47219624335837
"1108","TX",14,3.36786469344609,0.389355742296919,0.415384615384615,0.20048309178744,2.59796437659033,8.41383067842108,41.6995798319328,41.6995798319328,0.134453781512605,0.357142857142857,0.36344537815126,0.115546218487395,8.84787472035794,0.701149425287356,0.297520661157025,9.93,476,1,2.47219624335837
"1109","TX",15,3.4273127753304,0.394520547945205,0.458549222797927,0.203655352480418,2.53807106598985,8.42639282708974,41.3788546255507,41.3788546255507,0.134361233480176,0.319383259911894,0.334801762114537,0.158590308370044,8.59677419354839,0.653846153846154,0.226086956521739,10.58,454,1,2.47219624335837
"1110","TX",16,3.43583535108959,0.358433734939759,0.410714285714286,0.153846153846154,2.56302521008403,8.52436739516424,42.1702637889688,42.1702637889688,0.151079136690647,0.345323741007194,0.309352517985612,0.136690647482014,9.46867167919799,0.671641791044776,0.254237288135593,10.06,417,1,2.47219624335837
"1111","TX",17,3.36610878661088,0.403225806451613,0.462871287128713,0.195928753180662,2.55023923444976,8.66077391989376,41.3695198329854,41.3695198329854,0.0751565762004175,0.354906054279749,0.313152400835073,0.152400835073069,9.13566739606127,0.703296703296703,0.307017543859649,10.61,479,1,2.47219624335837
"1112","TX",18,3.44158878504673,0.427745664739884,0.456521739130435,0.17989417989418,2.52429667519182,8.74257423767064,43.3433874709977,43.3433874709977,0.109048723897912,0.378190255220418,0.271461716937355,0.146171693735499,10.128640776699,0.692307692307692,0.222222222222222,10.08,431,1,2.47219624335837
"1113","TX",19,3.43280182232346,0.408571428571429,0.452316076294278,0.184491978609626,2.57255936675462,8.74989095553526,40.9909297052154,40.9909297052154,0.126984126984127,0.331065759637188,0.26530612244898,0.156462585034014,9.76144578313253,0.633802816901408,0.263565891472868,10.82,441,1,2.47219624335837
"1114","TX",21,3.41388174807198,0.410658307210031,0.454268292682927,0.199386503067485,2.48863636363636,8.65032450401942,45.4143222506394,45.4143222506394,0.0843989769820972,0.383631713554987,0.286445012787724,0.127877237851662,11.1763085399449,0.666666666666667,0.326530612244898,9.87,391,1,2.47219624335837
"1115","TX",22,3.31136363636364,0.450867052023121,0.488950276243094,0.206521739130435,2.50913838120104,8.66250492257629,43.3738738738739,43.3738738738739,0.11036036036036,0.335585585585586,0.295045045045045,0.130630630630631,9.60336538461539,0.666666666666667,0.284403669724771,8.9,444,1,2.47219624335837
"1116","TX",23,3.25,0.469750889679715,0.518987341772152,0.241935483870968,2.46355685131195,8.52377150677636,44.3567708333333,44.3567708333333,0.0911458333333333,0.372395833333333,0.263020833333333,0.111979166666667,9.89136490250696,0.77027027027027,0.353982300884956,8.83,384,1,2.47219624335837
